Section,Thk_in_gross,Area_in2Thk_in_gross,Weight_lb_ftThk_in_gross,Ixx_in4Thk_in_gross,Sxx_in3Thk_in_gross,Rx_inThk_in_gross,Iyy_in4Thk_in_gross,Ry_inThk_in_gross,Ixx_in4_33ksi,Sxx_in3_33ksi,Ma_in_k_33ksi,Va_lb_33ksi,Ycg_in_33ksi,Ixx_in4_50ksi,Sxx_in3_50ksi,Ma_in_k_50ksi,Va_lb_50ksi,Ycg_in_50ksi,Jx1000_in4_tor,Cw_in6_tor,Xo_in_tor,Ro_in_tor,beta_tor
162S125-43,0.05,0.19,0.64,0.09,0.11,0.68,0.04,0.44,0.09,0.1,1.97,829,0.83,0,0,0,0,0,0.13,0.02,-1.03,1.31,0.38
162S125-54,0.06,0.23,0.79,0.1,0.13,0.67,0.04,0.43,0.1,0.13,2.85,1003,0.82,0.1,0.12,3.48,1519,0.84,0.25,0.02,-1.02,1.29,0.38
162S125-68,0.07,0.28,0.96,0.12,0.15,0.66,0.05,0.42,0.12,0.15,3.57,1194,0.81,0.12,0.15,4.41,1809,0.82,0.48,0.03,-1.01,1.28,0.37
250S200-33,0.03,0.26,0.88,0.28,0.22,1.04,0.15,0.77,0.28,0.2,3.87,1040,1.32,0,0,0,0,0,0.1,0.3,-1.96,2.35,0.3
250S200-43,0.05,0.33,1.14,0.36,0.29,1.04,0.2,0.77,0.36,0.28,5.49,1350,1.27,0,0,0,0,0,0.23,0.38,-1.95,2.34,0.31
250S200-54,0.06,0.42,1.41,0.44,0.35,1.03,0.24,0.76,0.44,0.35,7.65,1656,1.25,0.44,0.32,9.43,2510,1.31,0.44,0.46,-1.94,2.33,0.3
250S200-68,0.07,0.52,1.75,0.54,0.43,1.02,0.29,0.75,0.54,0.43,9.57,2017,1.25,0.54,0.42,13.84,3057,1.27,0.87,0.55,-1.94,2.32,0.3
250S250-43,0.05,0.38,1.29,0.43,0.34,1.06,0.34,0.94,0.43,0.3,5.87,1350,1.33,0,0,0,0,0,0.26,0.63,-2.44,2.82,0.25
250S250-54,0.06,0.47,1.6,0.52,0.42,1.06,0.41,0.94,0.52,0.38,7.49,1656,1.31,0.52,0.34,10.22,2510,1.36,0.5,0.77,-2.43,2.81,0.25
250S250-68,0.07,0.59,1.99,0.64,0.51,1.05,0.5,0.93,0.64,0.5,9.88,2017,1.27,0.64,0.43,12.8,3057,1.35,0.99,0.93,-2.43,2.8,0.25
350S137-33,0.03,0.23,0.79,0.44,0.25,1.38,0.06,0.5,0.44,0.24,4.79,1046,1.78,0,0,0,0,0,0.09,0.15,-1.04,1.8,0.67
350S137-43,0.05,0.3,1.02,0.57,0.32,1.38,0.08,0.5,0.57,0.32,7.04,1777,1.76,0,0,0,0,0,0.2,0.19,-1.03,1.79,0.67
350S137-54,0.06,0.37,1.27,0.7,0.4,1.37,0.09,0.49,0.7,0.4,9,2403,1.75,0.7,0.38,12.85,3446,1.78,0.4,0.23,-1.02,1.78,0.67
350S137-68,0.07,0.46,1.57,0.85,0.49,1.36,0.11,0.48,0.85,0.49,11.31,2959,1.75,0.85,0.48,16.74,4483,1.75,0.78,0.27,-1.01,1.76,0.67
350S162-97,0.1,0.71,2.42,1.32,0.75,1.36,0.24,0.58,1.32,0.75,18.11,4016,1.75,1.32,0.75,26.76,6085,1.75,2.45,0.65,-1.3,1.97,0.56
350S200-33,0.03,0.29,0.99,0.6,0.34,1.43,0.18,0.77,0.59,0.3,6,1046,1.83,0,0,0,0,0,0.12,0.54,-1.79,2.42,0.45
350S200-43,0.05,0.38,1.29,0.77,0.44,1.43,0.22,0.77,0.77,0.43,8.46,1777,1.77,0,0,0,0,0,0.26,0.68,-1.78,2.41,0.45
350S200-54,0.06,0.47,1.6,0.95,0.54,1.42,0.27,0.76,0.95,0.54,11.81,2403,1.75,0.95,0.49,14.57,3446,1.83,0.5,0.83,-1.77,2.39,0.45
350S200-68,0.07,0.59,1.99,1.17,0.67,1.41,0.33,0.75,1.17,0.67,14.84,2959,1.75,1.17,0.64,21.35,4483,1.78,0.99,1,-1.76,2.38,0.45
350S200-97,0.1,0.81,2.77,1.58,0.9,1.39,0.44,0.74,1.58,0.9,20.95,4016,1.75,1.58,0.9,31.08,6085,1.75,2.8,1.31,-1.74,2.35,0.45
350S250-43,0.05,0.42,1.44,0.91,0.52,1.46,0.38,0.95,0.91,0.45,8.98,1777,1.85,0,0,0,0,0,0.29,1.14,-2.25,2.85,0.37
350S250-54,0.06,0.53,1.8,1.12,0.64,1.46,0.47,0.94,1.12,0.58,11.4,2403,1.83,1.11,0.52,15.68,3446,1.9,0.56,1.39,-2.24,2.83,0.37
350S250-68,0.07,0.66,2.24,1.38,0.79,1.45,0.57,0.93,1.38,0.76,15.04,2959,1.78,1.38,0.66,19.67,4483,1.89,1.11,1.7,-2.24,2.82,0.37
350S250-97,0.1,0.92,3.11,1.87,1.07,1.43,0.76,0.91,1.87,1.07,24.09,4016,1.75,1.87,1.02,34.27,6085,1.79,3.15,2.25,-2.22,2.79,0.37
362S137-97,0.1,0.65,2.2,1.23,0.68,1.38,0.14,0.46,1.23,0.68,16.75,4184,1.81,1.23,0.68,24.67,6339,1.81,2.23,0.38,-0.98,1.75,0.69
362S162-97,0.1,0.72,2.46,1.44,0.79,1.41,0.24,0.58,1.44,0.79,19,4184,1.81,1.44,0.79,28.08,6339,1.81,2.5,0.7,-1.29,1.99,0.58
362S200-97,0.1,0.83,2.81,1.71,0.94,1.44,0.45,0.74,1.71,0.94,21.95,4184,1.81,1.71,0.94,32.57,6339,1.81,2.85,1.4,-1.72,2.36,0.47
362S250-43,0.05,0.43,1.46,0.98,0.54,1.51,0.39,0.95,0.98,0.48,9.39,1777,1.91,0,0,0,0,0,0.29,1.22,-2.23,2.85,0.39
362S250-54,0.06,0.54,1.82,1.21,0.67,1.5,0.47,0.94,1.21,0.6,11.92,2497,1.89,1.2,0.55,16.4,3446,1.97,0.57,1.49,-2.22,2.84,0.39
362S250-68,0.07,0.67,2.27,1.49,0.82,1.5,0.58,0.93,1.49,0.8,15.72,3076,1.84,1.49,0.69,20.58,4661,1.95,1.13,1.81,-2.21,2.83,0.39
