Section,thk,Area,Wt,Cxx,Cyy,exx,eyy,Ixx,Iyy,Iuu,Ivv,rxx,ryy,ruu,rvv,Zxx,Zyy,Ixy
ISA 30203,3,1.41,1.10,0.98,0.49,2.02,1.51,1.20,0.40,1.40,0.20,0.92,0.54,0.99,0.41,0.60,0.30,0.40
ISA 30204,4,1.84,1.40,1.02,0.53,1.98,1.47,1.50,0.50,1.80,0.30,0.92,0.54,0.98,0.41,0.80,0.40,0.50
ISA 30205,5,2.25,1.80,1.06,0.57,1.94,1.43,1.90,0.60,2.10,0.40,0.91,0.53,0.97,0.41,1.00,0.40,0.60
ISA 40253,3,1.88,1.50,1.30,0.57,2.70,1.93,3.00,0.90,3.30,0.50,1.25,0.68,1.33,0.52,1.10,0.50,0.90
ISA 40254,4,2.46,1.90,1.35,0.62,2.65,1.88,3.80,1.10,4.30,0.70,1.25,0.68,1.32,0.52,1.40,0.60,1.20
ISA 40255,5,3.02,2.40,1.39,0.66,2.61,1.84,4.60,1.40,5.10,0.80,1.24,0.67,1.31,0.52,1.80,0.70,1.40
ISA 40256,6,3.56,2.80,1.43,0.69,2.57,1.81,5.40,1.60,5.90,1.00,1.23,0.66,1.29,0.52,2.10,0.90,1.60
ISA 45303,3,2.18,1.70,1.42,0.69,3.08,2.31,4.40,1.50,5.00,0.90,1.42,0.84,1.52,0.63,1.40,0.70,1.50
ISA 45304,4,2.86,2.20,1.47,0.73,3.03,2.27,5.70,2.00,6.50,1.10,1.41,0.84,1.51,0.63,1.90,0.90,1.90
ISA 45305,5,3.52,2.80,1.51,0.77,2.99,2.23,6.90,2.40,7.90,1.40,1.40,0.83,1.50,0.63,2.30,1.10,2.30
ISA 45306,6,4.16,3.30,1.55,0.81,2.95,2.19,8.00,2.80,9.20,1.70,1.39,0.82,1.49,0.63,2.70,1.30,2.70
ISA 50303,3,2.34,1.80,1.63,0.65,3.37,2.35,5.90,1.60,6.50,1.00,1.59,0.82,1.67,0.65,1.70,0.70,1.70
ISA 50304,4,3.07,2.40,1.68,0.70,3.33,2.30,7.70,2.10,8.50,1.20,1.58,0.82,1.66,0.63,2.30,0.90,2.30
ISA 50305,5,3.78,3.00,1.72,0.74,3.28,2.26,9.30,2.50,10.30,1.50,1.57,0.81,1.65,0.63,2.80,1.10,2.70
ISA 50306,6,4.47,3.50,1.76,0.78,3.24,2.22,10.90,2.90,11.90,1.80,1.56,0.80,1.64,0.63,3.40,1.30,3.10
ISA 60405,5,4.76,3.70,1.95,0.96,4.05,3.04,16.90,6.00,19.50,3.40,1.89,1.12,2.02,0.85,4.20,2.00,5.80
ISA 60406,6,5.65,4.40,1.99,1.00,4.01,3.00,19.90,7.00,22.80,4.00,1.88,1.11,2.01,0.85,5.00,2.30,6.80
ISA 60408,8,7.37,5.80,2.07,1.08,3.93,2.92,25.40,8.00,29.00,5.20,1.86,1.10,1.98,0.84,6.50,3.00,8.50
ISA 65455,5,5.26,4.10,2.07,1.08,4.43,3.42,22.10,8.60,25.90,4.80,2.05,1.28,2.22,0.96,5.00,2.50,8.00
ISA 65456,6,6.25,4.90,2.11,1.12,4.39,3.38,26.00,10.10,30.40,5.70,2.04,1.27,2.21,0.95,5.90,3.00,9.40
ISA 65458,8,8.17,6.40,2.19,1.20,4.31,3.30,33.20,12.80,38.70,7.40,2.02,1.25,2.18,0.95,7.70,3.90,11.80
ISA 70455,5,5.52,4.30,2.27,1.04,4.73,3.46,27.20,8.80,30.90,5.10,2.22,1.26,2.36,0.96,5.70,2.50,8.90
ISA 70456,6,6.56,5.20,2.32,1.09,4.68,3.41,32.00,10.30,36.30,6.00,2.21,1.25,2.35,0.96,6.80,3.00,10.50
ISA 70458,8,8.58,6.70,2.40,1.16,4.60,3.34,41.00,13.10,46.30,7.80,2.19,1.24,2.32,0.95,8.90,3.90,13.20
ISA 704510,10,10.52,8.30,2.48,1.24,4.52,3.26,49.30,15.60,55.40,9.50,2.16,1.22,2.29,0.95,10.90,4.80,15.50
